contentId,recommendedContentId,similarityScore
8194079557551008273,-2273517184910006534,0.2466
8194079557551008273,-3528088210002754978,0.2393
8194079557551008273,-1868297195590431285,0.2379
8194079557551008273,6419848550542384295,0.2352
-1672166631728511207,5847540986736720765,0.3332
-1672166631728511207,-2167839778474325326,0.329
-1672166631728511207,123378787151399958,0.3236
-1672166631728511207,-4386371945374980231,0.3223
-1672166631728511207,-321691855821364131,0.3205
-4374331682165863764,-7358932766266901263,0.4501
-4374331682165863764,-7358932766266901263,0.4501
-4374331682165863764,8550670510357310628,0.4501
-4374331682165863764,3075564241645350154,0.3543
-4374331682165863764,4463025528374352465,0.3425
5714314286511882372,-4615179238096674750,0.2095
5714314286511882372,9213260650272029784,0.175
5714314286511882372,8169351562924200055,0.1704
5714314286511882372,6162786478796754684,0.1668
5714314286511882372,-8968101771604200516,0.1626
-8141818108252244664,-7009536306337650657,0.2858
-8141818108252244664,5779887740609126631,0.2826
-8141818108252244664,8869575677747285539,0.2804
-8141818108252244664,6341647533150019811,0.2751
-8141818108252244664,-8254222281357012124,0.2614
-8939172344092554931,8545647269051113523,0.6714
-8939172344092554931,3750772607644674028,0.2328
-8939172344092554931,-4833307637594287163,0.2122
-8939172344092554931,-8520302351158933500,0.2015
-8939172344092554931,2841545035570793472,0.1947
-1591454024897803197,8968837261991914049,0.2
-1591454024897803197,4785499183287168509,0.1788
-1591454024897803197,8302949268716967655,0.1738
-1591454024897803197,3293246847422795557,0.1725
-1591454024897803197,-3951274083288934897,0.1609
-6874540813378776198,5842191581670322333,0.2115
-6874540813378776198,-8187220755213888616,0.1617
-6874540813378776198,6097677219931837830,0.1607
-6874540813378776198,1981046186743381313,0.1575
-6874540813378776198,-4126288159365354498,0.1541
-3173020603774823976,4788854083489560153,0.683
-3173020603774823976,1649752043999819668,0.6737
-3173020603774823976,-7992053163122498177,0.6733
-3173020603774823976,2930191803881821526,0.5301
-3173020603774823976,8473367604990946179,0.5039
-9107331682787867601,-605114438206384896,0.1695
-9107331682787867601,3035329611795434601,0.1382
-9107331682787867601,-2855910583928922225,0.1362
-9107331682787867601,-6993279786012379694,0.1286
-9107331682787867601,5842191581670322333,0.1283
-1021685224930603833,-5255285107284514595,0.2459
-1021685224930603833,231281690254211527,0.2435
-1021685224930603833,-5082274522455747241,0.2359
-1021685224930603833,4313871021753084020,0.2288
-1021685224930603833,-6761163882540291832,0.2279
1392715980907132808,1266958185239582088,0.159
1392715980907132808,-5464698687596686623,0.1569
1392715980907132808,-1868297195590431285,0.1502
1392715980907132808,2255603060224026824,0.1173
1392715980907132808,-3810375613673461625,0.1163
-6142462826726347616,-1868297195590431285,0.2737
-6142462826726347616,1266958185239582088,0.2659
-6142462826726347616,-3810375613673461625,0.223
-6142462826726347616,2255603060224026824,0.2184
-6142462826726347616,6200172800690402606,0.21
2255603060224026824,1266958185239582088,0.4065
2255603060224026824,-1868297195590431285,0.3907
2255603060224026824,2900029983899283273,0.3612
2255603060224026824,-3810375613673461625,0.3243
2255603060224026824,5274322067107287523,0.3129
3037840448416371691,1266958185239582088,0.2826
3037840448416371691,-6941293448141178017,0.2291
3037840448416371691,6419848550542384295,0.2283
3037840448416371691,-1868297195590431285,0.2248
3037840448416371691,-3810375613673461625,0.2138
7767869406844505704,-5829979886567267504,0.2801
7767869406844505704,-4218676349553328084,0.279
7767869406844505704,-8942026248671582808,0.2716
7767869406844505704,-5179258585851879449,0.2465
7767869406844505704,2731915238980099593,0.214
-7202774608580336956,-6792965795755857419,0.2678
-7202774608580336956,-486686184692655504,0.2228
-7202774608580336956,7508152369854945139,0.2111
-7202774608580336956,8297658253225035519,0.2093
-7202774608580336956,1805849336099641652,0.2078
5822211783543822544,764116021156146784,0.2688
5822211783543822544,1990052153136096105,0.1971
5822211783543822544,7851022564818849560,0.1596
